Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Customer feedback examples
positive,good texture,144,38,"texture is so good and feels rich as same as shown in the picture highly recommended,the texture and the quality of the product makes it awesome,it is such an good good quality with thick texture,all the three product having a good quality fine texture,texture of the material is of good quality"
positive,good tote bag,27,7,"very nice tote bag very useful and got it par worthy,cute tote bag just for rs 310 great deal,but it is nice big size tote bag so overall good,bag is suitable for those who love tote bags,just collected tote bag its gorgeous and large i wasnt expecting such a great bag for this price im delighted with it"
negative,small zip,88,29,"inner quality is wrostevery small things comes out from side of zip,compartments are not spacious and zip is also small,this quality is not good and zip is also small size,the bag depth is so small and the zip opening is so narrow for my needs,very poor material and zip is short"
negative,size mentioned,348,104,"size is nit mentioned in the description,the same size which i have noticed in the picture given,please mention size details in product image and description,possible to guess size as it is already mentioned in specification,size issue please get this picked up"
negative,bag is torn,1721,552,"the skin of the bag is torn at the bottom,thew outside of the bag is torn and damaged,the material of the bag is torn at the corner and also at the front,the cloth inside the bag is torn so returning it,i got a a bag which is torned and damaged"
negative,product doesn't look good,9218,3091,"not looking good not looking good not good not good,its looking not good and colur also not good,does not look good on me dont suitable,it doesnt match as it doesnt look good on me,not good look not comfortable not nice looking"
positive,material quality,1919,484,"it looks good and material quality also too good,quality and the material of the product is too good,it is an awesome product made of good quality material,same like the picture and the material is also very good,the quality n the material is just too good"
negative,magnet not working,84,27,"also one sub item magnet to close doesnt work,product is very poor and magnet is not fixing,magnet is not working handle is also not working bag is damage many more issues with this item i faced so i wont to change this one,very poor quality magnet is not working,one of the side magnet is not working"
positive,blue color,29,4,"same as in picture and l loved it so much lovely blue shiny color,i bought this in blue color and it looks very classy,the blue color all those features made us happy,bought it in blue color which looks good,its blue color is also too much pretty"
negative,looks like used,491,138,"it looks like already an used item,it clearly looks to be an used one,it seems to be a used one,its like it s used and then send to us,its look like it is used one"
negative,difficult to carry,61,23,"it is not comfortable to me to carry some things,too hard not suitable for daily wear its like a briefcase,it is not comfortable to carry,it was very difficult to carry,it is too weight and difficult to carry"
positive,good choice,31,6,"can be a good choice for you,this is a good choice,its definitely an awesome choice,a good choice indeed,this is very good option"
positive,things fit,36,7,"it will fit all your necessary items and make you look chic at the same time,its easily fits all your essentials and a few more things,you can fit almost everything in this,lots of things fit in,you can fit alot in this"
negative,didn't expect this size,526,205,"i didnt expect the size to be so small,did not expect it will too small dont like it anymore,i was expecting a smaller one this is too big not suitable for me,never expected such a small size,too small size im not expected this size"
positive,pocket friendly,21,7,"its so pocket - friendly and reached on time,very beautiful easy on the pocket and good purchase,the back pocket makes it easy for her to keep things handy,yeah material is good and its pocket friendly,its pocket friendly and worth purchasing"
positive,royal look,37,8,"this is the best product as per the quality and it looks so royal,it feels too royal that you will always wish to flaunt around,for office it is the best royal look and good quality,excellent it has royal look with great quality,very nice product quality and looking beautiful and royal"
positive,looks neat,45,15,"so yes things are safe,very neat and nice,other than everything is ok,look wise its absolutely same,got at very reasonable deal"
negative,glue marks on the bag,27,10,"has blackish spots of grease / glue on the end of straps,also glue stains are there on inner cloth side,seems used glue marks is there for whole bag,item has sticky glue covering all over it,sticky substance like glue was found on the bag and piece fell off"
positive,good on all outfit,15,3,"its a good styling accessory matches with most of my outfit,looks great to wear with any outfit,it can add beauty to your overall outfit,really nice for all outfit,very spacious with good quality material goes well with all kinds of outfit worth it"
positive,star rating,51,12,"the material is good i would have given stars,so giving a big thumbs up and 5 star rating without a doubt,so giving a big thumbs up and 5 star rating without a doubt,i have rated it with 5 star,i will rate this experience - 10 stars"
positive,easy to handle,119,28,"it is really nice n convenient n easy to handle and solves the needs,its very good and also easy to take anywhere,go for it if you are looking for something easy,this one is easy to handle and fuss free,easy to carry out a little things very good quality i recommend you all to go for it"
negative,doesn't up to mark,1526,493,"not at all up to the mark,it is not up to the mark i e,not up to mark as shown so not appeaing,does not seem up to the mark,this is not up to the mark"
negative,hard leather,50,17,"leather folded is kind of tearing on the other side,material leather is very hard and heavy too,very hard leather very different from the image,black color has spread onto other colors hard leather with smell and not suitable for daily use,it is too hard leatherette material"
positive,color stylish,60,12,"this color is very classy and gives an aesthetic look,the color is very classy and it gives an aesthetic look,n the color is very classy like it very much,elegant in look nice combo with good design attractive color combination,the color is really classy exactly how i like it"
positive,good discount,45,8,"quite thick material and much happy to buy it in discount,i kept it because i got it on so much discount,its different and got it at a good discount,get in discount is ok to buy,so happy i got it at discount"
positive,carry books,21,4,"the bag is really good can easily accommodate a book and much more good quality nice design,you can use it to carry books,you can carry long note books with ease,u can carry big size n heavy books easily,wanted to carry books as well"
negative,inside pockets,52,14,"i need many pockets but there is only one pocket in big bag,lot of pockets in n out,it has 3 outer pockets and 1 small pocket inside,there are two slip pockets on one side and two zippers pockets on the other side,also there are two pockets a small compartment inside the bag"
negative,pocket is torn,99,42,"the fabric is cut from one side and the pocket is torn,the inside compartment of the merchandise is torn,torn out patch line noticed at the bottom of the handbag,the inside pocket is found to be torn,received the bag with inside lining is torn"
positive,rest all good,25,9,"rest very good at this rate,rest its so good looking,rest the product is good,rest overall product is good,rest all are good"
negative,not new,61,23,"its not new item seems that it is used one,the item is not new it is used,the item is used and not new,this is not a new piece,the item is not looking new"
negative,expected better quality,244,91,"returning it so that i could buy a better one,will get better quality things from the roadside,i just want to buy an better item quality wise,i was expecting a better quality as per the price i paid,i was expecting better quality and more space as per the price that i have paid"
negative,short straps,195,69,"the strap are small in size very uncomfortable to use,its toooo big n strap is small,unable to hang it over shoulder as the handle s very short,the strap is also very short,the size of straps is small"
positive,good straps,43,12,"the quality is too good and straps seems to be strong,a beautiful piece just the strap should be of more good quality,the straps are strong enough to hold the weight,the straps are of good quality too,the straps adjust very well big range to be able to size appropriately"
negative,looks untidy,44,18,"it is completely damaged and used worthless,this is very unprofessional,unfortunately this makes it unusable,what nonsense is that,so much unprofessional and unethical"
negative,stitches are loose,64,28,"stitches are loose and threads are coming out of it,stitches are loose coming off at some edges,item is damaged stitches are very loose,the stitching is coming off from the edges,the stitch is already getting loose"
positive,shiny color,22,8,"it is much more shiny than in pictures,so shiny loved it must buy,looks so bright and shiny,very shiny product and it is amazing,so shiny so smithy so beautiful and its designs pattern great"
positive,using regularly,25,6,"i have started using it everyday while going out,i am a regular user of the brand,great i am using regularly,i am using regularly from 1point5yrs,she really loves and has been using it regularly since november"
positive,good comfortable,573,124,"very nice and that and very comfortable and too good,it is good and she is using it very comfortable,very very cute comfortable and nice exact as shown in image,i like it very much very comfortable apart my expectation,its too good to looking and comfortable and gorgeous too"
positive,excellent craftsmanship,26,4,"very good look with fine craftsmanship,workmanship is really good,excellent workmanship and quality,truly appreciated the craftsmanship thanks,also sturdy and of good workmanship"
negative,no chain,145,48,"moreover it doesnt have any lock or chain system,the scarf multi color one is not there plus there is no chain inside for anyone,no lock button no hanging chain no long chain,there is no hanging chains on the front side,moreover it does not contain any chain within"
positive,strong smell,16,7,"also it had a strong smell to it,it has strong smell too,came with a strong smell,the product gives a strong smell,the stenching is also good"
negative,not comfortable,1451,603,"i this not good quality and it is not comfortable,not in proper condition and does not look good,i did not find it in a suitable condition to use,its not good product and its not comfortable to me,its doesnt look good and not comfortable"
negative,stiff material,35,15,"even the material is stiff,quality is not up to the mark material is too stiff,the material of the product is very stiff and that is not comfortable,material seems very stiff,it is very stiff"
