ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B09N3LZYHF,negative,hand bag,142,26,1,it says it will provide me 5 bags but gave only 4 and also quality is not good stiches are loose
B0B2K83BT3,negative,cheap quality leather,279,125,2,"its completely different product and quality is cheap,the cloth is very cheap"
B0B2K83BT3,negative,color not same,903,280,2,"color was not same,not the same color and quality is also poor"
B07BJJTWKJ,negative,product doesn't look good,9218,3091,1,not good
B083Y1392Q,negative,waste of money,3228,903,8,"quality is not according to price and poor quality,it is not good product in my money,waste of money,not worth money,money waste"
B08S2TRL5L,negative,need another color,140,51,1,need another color
B09N3K2ZCP,negative,broken strap,464,179,8,"damaged item handle and strap damaged,one end of strap literally hanged out loose,card holder and makeup pouch missing also strap are broken,strap is broken,strap is broken"
B09PJMQ24C,negative,bag has only one zip,189,73,1,material is not good and only one chain in purse
B09PJMQ24C,negative,strap is coming off,60,28,1,poor zipper locks straps etc
B083XZK6RJ,negative,not genuine leather,165,50,1,not original leather
B083Y1GHC8,negative,product doesn't look good,9218,3091,1,not good for me
B08S2TRL5L,negative,product doesn't look good,9218,3091,45,"do not look good on me,does not look good on me,does not good look,does not look good,not good for me"
B08T7BDMZM,negative,material is not good,6393,2458,40,"the material is also of very inferior quality as such not in worth useable condition,this item is not good quality,actually material is not good,item is not good quality,material quality is not good"
B09966LHB7,negative,product doesn't look good,9218,3091,1,not good
B09N3K2ZCP,positive,bag with enough space,137,24,1,it is very useful much space in small bag
B09N3K2ZCP,positive,good pouch,35,8,2,"all pouches are really cute and useful,the bag is good but the other bags with it are not of that good quality"
B09PJMQ24C,negative,zip not available,320,90,2,"main zip is not available,zip was no longer"
B09VZ8GP4V,negative,good as pic,211,87,1,not good as in image
B0B7XK74LM,negative,zip quality,1317,457,1,poor stitching and also poor zip
B08S2TRL5L,negative,waste of money,3228,903,14,"after seeing the item it looks like money wasted on this,very bad waste of money,not at all worth the price,poor quality for price,for price it doesnt look that gorgeos"
B08T7BDMZM,negative,zip quality,1317,457,4,"zip quality issue,the zip is very small,not comfortable zip problem,zip is not good"
B09N3K2ZCP,negative,not as shown in picture,13786,4341,223,"its doesnt look as showing in picture,it doesnt look as shown in image,as per showing images there is not matching,not same as shown in the picture,the looks is completely different then what shown in pictures"
B09N3K2ZCP,negative,not new,61,23,1,damaged part doesnt look new item
B0B79WLSY8,negative,not match the style,1073,474,1,not looking good
B0B7XK74LM,negative,stitching is not proper,2636,1043,3,"stitching work finishing not at all good,stitches is not good at one side,poor stitching and also poor zip"
B07CRJJC8M,negative,compartments inside the bag,681,242,1,this bag have no tags
B07TTH6ZDX,negative,zip is not working,1927,595,1,buttons are missing and zip is not working properly
B07Z2YP39B,negative,chain is not working,489,155,1,one chain not proper
B083Y1392Q,negative,purse design,168,68,1,there are 3 purses and u mentioned 4 purses in website 1 small purse is missing or not received
B083Y19MMJ,positive,material quality,1919,484,2,"material is a excellent,very good material"
B08NYMRBYY,negative,color is different from pic,597,213,1,different color as seen in the picture
B08S2TRL5L,negative,no pockets inside,463,207,1,poor quality no more pockets with big bag
B09DGMKBYZ,negative,less space,226,82,1,inside space is very less
B09N3LZYHF,negative,damaged packaging,120,58,1,both product and shipping box damaged
B09VZ8GP4V,negative,narrow product,761,313,3,"very low quality and small size,very small,small"
B0B188SMH3,negative,size issues,29856,9059,6,"to small as i expect,its too small,even the size of the bag is small the sling is short,small size,its a small size bag"
B0B18FMNG4,negative,not as shown in picture,13786,4341,7,"it is not as expected like in picture and product is damaged,not like,different from item ordered,order no 406 - - 3573942i item doesnt match website descirptionr return on refund,product looks different from website"
B0B7XSLGZD,positive,zip quality,333,75,1,fine product no problem in zipper chain sling bag has magnetic lock and its might not long lasting but all the bag are good
B0BWJLZZXP,negative,belt is not good,38,10,1,golden belt is not good quality
B07TTH6ZDX,negative,dull color,1638,414,1,i was expecting large size and color is too dull its not at all what i was looking for
B07YDCWLWF,negative,size issues,29856,9059,1,too small
B083XZLNYK,positive,looks nice,6968,1539,2,nice
B083Y1392Q,negative,looks old,2185,529,3,"it looks old,color and quality very poor and very old pis,the blue handbag handle metal looks rusted and the material quality is old"
B083Y1CZCL,negative,product doesn't look good,9218,3091,8,"this is not good enough for me,not good looking,not good,not good for looking the bag not full cover with zip and attatched additional pocket with bag"
B08T7BDMZM,negative,dirty product,1108,235,2,"product is too dirty,poor qualified and dirty product"
B09N3K2ZCP,negative,didn't expect this size,526,205,18,"did not expect it will too small dont like it anymore,it is too small not as expected,looking good but small in size then expected,product is good but size is small not good,size is too smaller than expected"
B09N3K2ZCP,negative,strap is not good,380,102,5,"stitching strap is not to acceptable condition,nuts in the straps are not good,strap of the bag is broken and weak,strap quality is very poor,handle strap for two bag as per picture is missing"
B09PJMQ24C,negative,hole in bag,353,126,1,bag has hole at the handle side
B0B2K83BT3,negative,color is different from pic,597,213,4,"even the color received is different,color is different as show in images and also material quality is not good,different color recd,color is not same as picture and very low quality product not satisfied"
B083XZK6RJ,negative,light color,340,80,2,"color is too light than in picture,it is too light"
B08QL6VK6H,negative,color not good,3789,1225,3,"color is different than ordered ones and quality is not up to the mark,the seams are not sewn well and it is in the wrong color,color not like"
B08T7BDMZM,negative,local product,158,35,2,"no one should take it is a local product,local product u cheat me"
B08T7BDMZM,negative,product doesn't look good,9218,3091,50,"does not look good,dose not look good,looking is not good,not look good,look not good"
B08T7BDMZM,negative,sling is broken,52,22,2,"sling is broken and some item is missing,quality is not that great sling broken in 1 use"
B09DXC8HSL,negative,small hole in bag,146,63,1,big size bag has a small hole in front side
B09N3K2ZCP,positive,good comfortable,573,124,1,nice bag
B09PJMZ7XF,positive,looks nice,6968,1539,2,"it was amazing worthy and of good quality,good"
B0B7XK74LM,negative,no match,80,28,1,not likely
B07BJKGG7J,negative,not sturdy,481,148,1,good product but the inner space is not sufficient otherwise i like it
B07QSR4F85,negative,color not same,903,280,1,not same color and product is no good
B08S2TRL5L,negative,short length,551,155,2,"length is too short does not look good and small damage does not satisfaction,the length of the strap to hang the bag is too short"
B08T7BDMZM,negative,zip not fully covered,293,96,3,"zip not locked fully open from side corner,zip not covering full portion,not able to close the zip fully it is always open in the corner"
B09DGP2H52,positive,spacious product,1655,270,1,spacious
B09G6VB6DP,negative,color not same,903,280,1,color is not same as given
B09N3LZYHF,negative,button is broken,89,34,2,"buttons are damaged,button is damaged"
B09PJMM2XM,negative,cheap quality leather,279,125,1,very cheap quality product can buy it from roadside stall smelling very bad when opened the packet
B09PJMQ24C,negative,strap size is small,231,104,1,this is too short bag
B0B2K4D2PG,negative,narrow product,761,313,1,material quality is poor and very small sizes
B0B7XJHFXJ,negative,want to replacement,38,9,1,post frd issuing replacement since wants the product
B0B7XL9PT3,negative,color not shiny,241,83,1,color is not matched
B0B7XSLGZD,negative,material is not good,6393,2458,2,"very poor material,material quality is low and chain also has a rust on it"
B083XZPQSP,negative,hole in bag,353,126,1,there is a hole at the side
B083Y19MMJ,negative,looks old,2185,529,5,"item is bot seems like new it looks like an old product which used before by anyone,product is looks like old and color fad,secondly it looks old and used,looking wise old,old product"
B08NYPH9FS,negative,stiches are open,246,91,1,its open
B08S2TRL5L,negative,color design,1103,288,1,color eesue
B08T7BDMZM,negative,chain quality,284,95,2,"chain is open from inside,chain is not inside the purse so please return this and initiate refund"
B0B188SMH3,positive,good condition,191,61,1,good
B07BJKGG7J,negative,waste of money,3228,903,1,i need back my money
B083XZK6RJ,negative,rusted product,76,23,1,rust
B083Y1F9B2,negative,bed quality,185,63,1,bed
B08NYPH9FS,positive,leather quality,910,167,2,"the chain and leather is of good quality,the leather is soft"
B09N3LZYHF,negative,material is not good,6393,2458,83,"quality of the material is not good,not good quality and material,material is not of good quality,the material is not worth,material quality is not good"
B09PJMM2XM,negative,torn from many places,77,32,1,hence its kind of torn
B09XBFRDTN,negative,no inner lining,398,138,1,no inner lining
B0B7XFTXNV,negative,waste of money,3228,903,1,poor quality dont buy total waste of money
B07P66YQ3L,negative,waste of money,3228,903,5,"if you will buy it youll waste your money,waste of money,doesnt worth buying,had to return as it was not worth the money spent"
B083XZHL6H,negative,color not good,3789,1225,1,color not matching
B083Y19MMJ,negative,doesn't fulfill my requirement,328,110,1,not as per my requirement
B08QL6VK6H,negative,color not same,903,280,1,color is not matching and also handle is short in main bag
B0B7XN8MJT,negative,not as shown in picture,13786,4341,7,"not as picture,the item is too different,product different from actual picture,different item,size is not as desired n seen"
B07MFGV1DZ,negative,not as shown in picture,13786,4341,1,not same as looking in picture looks bad quality
B07QV1V72M,negative,material is not good,6393,2458,1,material is not good
B07YDCWLWF,positive,leather quality,910,167,1,really doubtful if this really a leather product
B0824QC1H4,negative,color not good,3789,1225,1,it was damage and color was also not good
B083XZVW14,positive,value for money,8601,2240,1,compared to its price products are too good
B09N3K2ZCP,positive,looks good from outside,116,52,5,"just good from outside,good,it looks good from outside but there is no cloth stitched inside the bags and the material quality used in the bag is not good,it looks good from outside but there is no cloth stitched inside the bags and the material quality of the bag is not good"
B09PJMM2XM,negative,narrow product,761,313,4,"size small and incomplete parts,very good but size small,better product but small size,small"
B09PJMZ7XF,negative,zip is not working,1927,595,1,zippers are failed
B07P66YQ3L,negative,hard leather,50,17,1,leather is too hard
B07QV1V72M,negative,old bag,695,185,1,bag chain are not moving and the hand bag is old
B083Y1CZCL,negative,bag is torn,1721,552,1,the main purse is torn
B08NYMRBYY,negative,close the bag,31,5,1,bag doesnt closed fully from both side
B08NYMRBYY,negative,looks old,2185,529,8,"the item looks old and used and damaged from a few places,looks old and material quality is also very poor,different with the image shown looking old,bad quality and looks old,4 in 1 but the products looks old"
B08QL6VK6H,negative,small pockets,231,70,1,pocket small
B08S2TRL5L,positive,value for money,8601,2240,20,"quality must be good compared with the money,decent quality but product is worth the price paid,bought for my mom she loved this value for money,its style is good and price is reasonable,good value for money met"
B08T7BDMZM,negative,hook is broken,121,43,1,torn on handle
B09DGMKBYZ,negative,color design,1103,288,3,"the color is shaded,color shaded"
B09HSCK9K5,negative,no inner lining,398,138,2,"big bag does not contain more zips no compartments,different from the model image no side no back poor quality"
B09PJMQ24C,negative,small pockets,231,70,1,small bag
B09VZ8GP4V,negative,short straps,195,69,1,looks squarish in shape in photo but in reality its more like a rectangle with short handle
B09VZ8GP4V,negative,smaller bag,415,119,1,bag is small than expected not similar to the one displayed
B0B18GGWX5,negative,chain is not working,489,155,1,chain not working properly
B0B7XFTXNV,negative,size issues,29856,9059,1,small size
B0BTJ2THK3,negative,stitching is not proper,2636,1043,2,"quality of material and stitching is of poor quality,poor stitching"
B07P73CMNF,negative,no match,80,28,1,did not get proper no
B083XZHL6H,negative,color not same,903,280,1,not the exact color and quality is not good
B083Y19MMJ,negative,bag is torn,1721,552,2,"bag was tore at one place,also after couple of usage it started to tear"
B083Y1ZW69,negative,size issues,29856,9059,1,size is too small and of very cheap quality
B09DGP2H52,negative,narrow product,761,313,1,to small
B09N3K2ZCP,negative,not enough pockets,56,24,2,"poor quality extra pocket not available,only good to see but not enough pockets"
B09N3K2ZCP,negative,product has stains,670,213,31,"there is stain on the product,product has stains on the outer surface,there was a color stain in the product,product has stains all over,stain marks on the product"
B09N3K2ZCP,positive,value for money,8601,2240,25,"looks quite small but overall worth for money,value for money and having great buy,this product is really awesome and worth money,the price of the product is also reasonable,the bag set is very nice and worth the money"
B083XZF3L8,negative,no safety,114,38,1,no langer
B083XZS9RY,negative,no pockets inside,463,207,1,it doesnt have inside pockets
B083Y1F9B2,negative,waste of money,3228,903,2,"material is not at all good and also not suitable for regular purposes its waste of money,i want the money back"
B08QL6VK6H,negative,dirty product,1108,235,1,dirty item
B09N3K2ZCP,negative,strap is coming off,60,28,2,"the leather strap is imprinted on it from the other one,the color of strap is on the bag"
B09PJMZ7XF,negative,color not same,903,280,2,"doesnt look like the color shown in the picture,color is not same as showned showed pink color but what i received is dark maroon color thats why did not liked it want to return it"
B09PJMZ7XF,negative,dirty product,1108,235,5,"product is in dirty and damaged condition during packing opened,item is dirty and stained,very dirty and quality issue,the bag is dirty and the stones are in dull,not good and dirty item"
B0B18GGWX5,negative,narrow product,761,313,1,very small
B0B2K4D2PG,negative,size issues,29856,9059,1,its too small
B0B7XLF2JM,negative,product has stains,670,213,1,brown color oil marks on bags
B083Y1392Q,negative,looks like used,491,138,1,i received the product with damaged and it looks like used one please replace with new one
B08QL6VK6H,negative,old bag,695,185,1,there are some damages on the bag like an old stock bag
B08T7BDMZM,negative,product has stains,670,213,2,"has some stains also on it,the purse has stain marks and lipstick mark on it"
B09N3LZYHF,negative,purse design,168,68,2,"purse was folded and lot of marks on it,very bad material"
B07BH3R4MM,negative,zip is not working,1927,595,1,i like every single part of this bag but zip is not perfect
B07RPY7XTW,negative,bad smell,791,296,1,bag inside wet and bad smell
B07YDCWLWF,negative,doesn't suit me,1911,576,1,not at all worthy
B083Y19MMJ,negative,chain quality,284,95,2,"poor quality or single chain in all bags,their is no chain in bag and look very ordinary its quite different from images"
B083Y19MMJ,negative,zip not covered,46,15,1,the zip of the product wasnt provided on site images zip wasnt of desired type
B08NYMRBYY,negative,not comfortable,1451,603,2,"look not good,not comfortable"
B09N3K2ZCP,negative,bag is faded,61,29,5,"color of the bag is faded and there is scribbled on it,one of the bag is of different color and faded,color faded for the bags,bags color fade,stitching on the bag is worn out and the zip is not working as expected"
B09N3LZYHF,negative,didn't expect this size,526,205,3,"quality is not good and size is small too,size is so small and zip area not cover full,size is to small"
B09N3LZYHF,negative,used product,1192,381,13,"product seemed to be used one,product is used,the item is like used,used item received,material s not as expected and it looks as used bag"
B09PJMZ7XF,negative,compartments inside the bag,681,242,1,no pocket in bag inside
B0B18FMNG4,negative,chain is not working,489,155,1,chain lock not proper ad color issue
B0B7XK74LM,negative,doesn't suit me,1911,576,1,poor quality not worth
B083XZHL6H,negative,finishing is not good,872,317,1,not good finishing product
B083XZK6RJ,negative,not comfortable,1451,603,8,"its un comfortable to me,not a comfortable product in daily use,does not look good,not work properly,not comfortable"
B08T7BDMZM,negative,not as shown in picture,13786,4341,56,"the item does not appear the way it was showing in picture,its not as good as it looked in photo,not same as in the picture,not like its one in the picture,item is absolutely different what has been shown in the picture"
B09DGP2H52,negative,strap size is small,231,104,1,bags size is too small
B09G6VB6DP,negative,short length,551,155,2,"length is too short,size short problem"
B09N3K2ZCP,negative,no pockets inside,463,207,5,"there s no separate compartments in the main bag,inner pockets not coming,it is too small as compared to the image and it does not have any extra pocket inside,no pocket,stitch quality very bad and 4 pocket no usable"
B09N3K2ZCP,positive,looks neat,45,15,2,"very reasonable,it looks good but is not good for usage purpose"
B09N3LZYHF,negative,light color,340,80,1,have some light strains on it totally disappointed
B09PJMM2XM,negative,bag is torn,1721,552,2,"product is damaged and torn and not as expected,poor quality and broken product"
B0B188SMH3,negative,bad smell,791,296,1,waste quality and look is also very bad
B08NYMRBYY,negative,strap size is small,231,104,1,big bag chain is very small
B08QL6VK6H,negative,expected better quality,244,91,1,expected a better one
B08QL6VK6H,negative,zip inside the bag,239,113,1,no zips in and compartments
B09PJMZ7XF,negative,looks like used,491,138,1,it looks like used item
B09VZ8GP4V,negative,not as shown in picture,13786,4341,11,"not as looking in picture,what see is not like that,product sent is different from the picture,quality is not up to the mark,it is not as shown in the pictures inside of bag was blue but in picture it was black"
B09XBFBS2D,negative,one compartment,229,92,1,only one purse is received 2 are missing
B0B7XF38T8,negative,not as shown in picture,13786,4341,2,"product not in good condition,no designed as show in the website"
B083Y19MMJ,negative,color faded,719,222,1,colors fade
B083Y1CZCL,negative,no safety,114,38,1,no safety
B08NYPH9FS,negative,no tag,303,103,1,without tag
B09PJMM2XM,negative,looks old,2185,529,3,"it looks old and used product,its seems like old,this product quality is not good and old fashioned"
B09PJMZ7XF,negative,received incomplete item,245,117,1,item missing
B09PJMZ7XF,negative,used product,1192,381,2,"use product received,used product"
B0B188SMH3,negative,color not good,3789,1225,2,"color is not as expected,dont like color"
B0B18CN68L,negative,material is not good,6393,2458,2,"material is not good,poor quality material"
B0B2K83BT3,negative,local product,158,35,1,very small and look local
B083Y1392Q,negative,not genuine,214,64,1,not as expected not good quality and not as good as presented
B083Y1392Q,negative,not sturdy,481,148,2,"not good not hood not hodd,not comfort"
B08NYPH9FS,negative,color faded,719,222,2,"color is different and faded looks used,it looks faded black"
B08S2TRL5L,negative,stitching is not proper,2636,1043,4,"quality and stitching is not good need good quality product,the bag has poor stitching,poor quality stitching,poor stitches"
B09HSCK9K5,negative,size issues,29856,9059,10,"product is too small for my purpose,size is too small,size is small,bahut chhota hai,too small"
B09HSCK9K5,positive,looks stylish,1579,331,1,classy look
B09N3K2ZCP,positive,looks good in picture,304,83,3,"but looks good at pictures,as shown in picture it looks nice but the product we received that was not good,showing to picture quality good but received product quality not good"
B09PJMM2XM,negative,not as per description,123,42,1,does not meet expectations
B09VZ8GP4V,negative,less space,226,82,1,less space not big enough
B0B18GGWX5,negative,size issues,29856,9059,11,"size is too small so i want to return it,size is very less compared in specification,its size is small as compared to its images on amazon,size is too small,size of the bag is small"
B0B2K4GHMJ,negative,broken strap,464,179,1,the strap is broken
B07P66YQ3L,negative,product has stains,670,213,1,stains on purse
B09DGP2H52,positive,value for money,8601,2240,2,"value for money good quality,this is just perfect with perfect pricing"
B09HSCK9K5,negative,no tag,303,103,1,without tag
B09N3LZYHF,negative,hole in bag,353,126,3,"hole in the bottom of the hand bag,there are holes in the purse,holes in bags"
B09N3LZYHF,positive,good packaging,354,67,1,the only problem was the packaging of the product
B09XBGMNFB,negative,not as shown in picture,13786,4341,1,quality not good
B0B18GGWX5,negative,strap size is small,231,104,1,bag is too small
B083XZK6RJ,negative,zip is not closing,124,42,3,"i need complete zip in bag its not completely cover the open in main bag their is chance to lost things in case,the zip is not completely closed,item was good but its zip was not fully closed"
B08QL6VK6H,negative,dull color,1638,414,2,"color looks dull,dull color"
B08T7BDMZM,negative,bag has only one zip,189,73,2,"only one zip not comfortable this handbag,single mini purse receive"
B09N3K2ZCP,negative,description says set,212,66,3,"came out,product is 460 but he taken 510,wms"
B09N3K2ZCP,negative,doesn't up to mark,1526,493,20,"not up to the mark,not up to the mark,not up to the mark,not up to the mark,material isnt up to mark"
B09N3K2ZCP,negative,used product,1192,381,42,"product is looked like used and there was a strain colors,its look like a used product,product seems like used one,looking like used product,look like used product"
B09N3K2ZCP,positive,looks nice,6968,1539,16,"it may be great pleasure from u,which is really good looking,it is lovely,really the best look,nice for"
B09PJMM2XM,negative,old bag,695,185,2,"the bag is too old,looking so old"
B0B2K83BT3,negative,used product,1192,381,1,not up to the mark and its like used item
B0B7XJHFXJ,positive,looks nice,6968,1539,1,i actually liked the look but quality is not good and bag is small
B0B7XLF2JM,negative,not match the style,1073,474,1,this is not looking good
B0B7XLF2JM,negative,zip is not working,1927,595,1,zip is not working
B0B7XN8MJT,negative,no zip,428,151,1,no zip given
B07TTH6ZDX,negative,chain is not working,489,155,1,chain is not smooth
B09N3LZYHF,negative,received incomplete item,245,117,6,"different from item ordered mrp tag is missing,1 item missing,one piece missing,missing product,fraud incomplete set received"
B09PJMQ24C,negative,not leather,403,109,1,product leather no heavy quality and size is small nothing as per image
B09PJMZ7XF,negative,color is different from pic,597,213,3,"color is different as shown in image,color is not as per order,color is different"
B0B7XJBYVN,negative,color not good,3789,1225,1,i dint like the color
B07QW3348P,negative,bag is torn,1721,552,1,the fabric and quality was fine however when i opened and checked i realized the small pocket at the bag was torned
B08NYMRBYY,negative,little damaged,178,69,1,there are black spot on the bag and also little torn on the side need a replacement
B08QL6VK6H,negative,no brand mentioned,142,54,1,no pickup attempted and failed
B08S2TRL5L,negative,smaller bag,415,119,1,bag handle are small
B09DGMKBYZ,negative,narrow product,761,313,3,"as same as shown as pitcher but low quality cloth very small and has no that space,very small,all are single zips small size and not proper stitch finishes doest looks like premium one not up to its expectations"
B083XZK6RJ,positive,looks stylish,1579,331,3,"its so spacious and stylish tge smallest one is so cute but actually not useful but loved it a lot its really worth of money,its stylish no doubt but product quality is not good,stylish"
B07CL48CKC,negative,not sturdy,481,148,1,useless not durable
B083Y19MMJ,negative,size is not suitable,859,302,1,size not fit
B083Y1F9B2,negative,zip not available,320,90,1,received product size is too small and incomplete zipped
B08S2TRL5L,negative,leather quality,869,295,4,"quality is very poor and look very low quality pu leather,did not like shape n leather smell,not good quality leather,leather looks bad"
B09DX9H63B,negative,leather is torn,452,114,1,it has marks on the leather
B09PJMM2XM,negative,used product,1192,381,2,"this is used product,it looks old and used product"
B09PJMZ7XF,negative,no brand mentioned,142,54,1,i fully disappointed and wont suggest anyone
B0B2K83BT3,negative,upset with this situation,99,39,1,i really disappointed
B083Y19MMJ,negative,bag has only one zip,189,73,1,only a part of the bag has zip
B08NYMRBYY,negative,color is also different from picture,95,32,2,"color not as seen in picture,its quality is not good and color also different from what is shown"
B08T7BDMZM,negative,bed quality,185,63,1,bed quality
B09N3K2ZCP,negative,delicate material,41,15,1,delicate material
B09XBFBS2D,negative,size issues,29856,9059,1,size is too small
B0B18GGWX5,negative,material is not good,6393,2458,4,"material quality is not good and worth,poor material quality chiii,cloth variety so poor quality is not good,the material quality is poor and the color is dull not as shown in the item description and photos by the seller"
B0BTJ2THK3,negative,color not good,3789,1225,1,poor quality didnt t like the color
B083XZK6RJ,negative,less space,226,82,1,its so less and nice quality i loved it so much
B083XZK6RJ,positive,leather quality,910,167,3,"loved the gray color product is really pu leather very soft to touch and malleable,it is best leather,the leather does felt good"
B08NYMRBYY,negative,doesn't look like new,293,82,1,bag does not have inside compartments
B08NYMRBYY,negative,material is not good,6393,2458,20,"the material quality is not good,material is not good,i doubt on the material quality,not good item,material not satisfied"
B08S2TRL5L,negative,looks old,2185,529,1,it looks too old
B08T7BDMZM,negative,please dont purchase this bag,30,5,1,please dont purchase this bag
B09G6VB6DP,negative,compartments inside the bag,681,242,1,quality of finishing is not good no belt in one purse
B09HSCK9K5,negative,expected better quality,244,91,1,expected better quality
B09VZ8GP4V,negative,stitching is not proper,2636,1043,5,"handle stitches are not proper as and quality also not good,do not like the stitching the blue color of inside is visible from outside,stitching is not good,extremely poorly stitched bag,leather is torn and not proper stitching"
B09XBF2ZJ8,negative,not as shown in picture,13786,4341,1,order no 406 - - 3573942i item doesnt match website descirptionr return on refund
B0B7XSLGZD,negative,chain quality,284,95,1,fine product no problem in zipper chain sling bag has magnetic lock and its might not long lasting but all the bag are good
B07QV1V72M,negative,bad quality,6425,2142,3,"quality is not good,dislike not a good quality"
B07YDCWLWF,negative,color not good,3789,1225,2,"different color moreover of poor quality,worst quality color not as shown in the image"
B083XZK6RJ,negative,looks untidy,44,18,1,incomplete set
B083Y19MMJ,negative,one zip,268,126,4,"it only have one zip and the side of this bag is open,only one zip is there,only one zip code,single shelfs and one zip only"
B083Y1F9B2,negative,expected better quality,244,91,1,im very upset with your service its to much hectic please give me better service
B0974S6R81,positive,looks nice,6968,1539,1,very good and nice but the material is not good
B09HSCK9K5,negative,not safe to carry things,163,74,1,no chain in purse not safe to carry things
B09N3K2ZCP,negative,purse design,168,68,3,"very bad quality and the design is also not appropriate,material is bad second hand,materials are bad zipper are not good"
B09N3K2ZCP,positive,good texture,144,38,1,texture is also amazed
B09N3LZYHF,negative,no tag,303,103,1,mrp tag was not there
B09PJMM2XM,negative,material is not good,6393,2458,15,"item is not good and look is out of use,rusty and material also not good,this item is not good,the material is not good,item is not good"
B07P66YQ3L,negative,threads coming,172,43,1,threads coming out
B083XZHL6H,positive,easy to handle,119,28,1,this more compatable and more space and easy to crry look and finger elements aya prefer in shape
B08S2TRL5L,negative,scratch marks,171,53,1,scratch
B0B18GGWX5,negative,fake product,1665,379,1,not fresh piece
B0B2K4D2PG,negative,product doesn't look good,9218,3091,1,not good
B0B7XJHFXJ,negative,didn't expect this size,526,205,1,size is small and color
B0B7XK74LM,negative,material is not good,6393,2458,2,"material is not good also rope is missing,inner lining cloth used is of very low quality"
B08NYMRBYY,negative,zip is not working,1927,595,2,"zip is not safe also,no more zipper"
B08T7BDMZM,negative,not sturdy,481,148,1,not a safe
B0B7XK74LM,negative,bad quality,6425,2142,1,quality is not good
B083XZK6RJ,negative,zip quality,1317,457,6,"there no inner pockets and zip quality is poor,zip of the bag is damaged,zip is not nice,quality is not good and no zip is available in side of the bag,part4 bag also missing zip requirement is not sufficient"
B083XZLNYK,negative,small hole in bag,146,63,1,there is lot of stains and small hole also there and one bag missing
B08T7BDMZM,negative,screw is broken,27,10,1,screw nut bolt damaged
B09G6VB6DP,negative,finishing is not good,872,317,3,"poor quality and no proper finishing,finishing is too bad on top thread are stitched badly looks so unpleasant,quality of finishing is not good no belt in one purse"
B09N3LZYHF,negative,dirty product,1108,235,6,"items is like used very dirty,its looks dirty need to order others item,it is also very dusty from the inside,some dirty spots on it,product is dusty"
B09PJMM2XM,negative,quality is not worth,271,115,1,quality is not ok
B09PJMQ24C,negative,belt is damaged,97,37,1,damaged belt
B09VZ8GP4V,negative,product doesn't look good,9218,3091,2,"not good,not good"
B0B7XL9PT3,negative,color not good,3789,1225,2,"product is very low in quality and color is not same as i ordered it,good quality but color not good"
B07CRJJC8M,negative,hard material,523,177,1,product is too hard
B083XZK6RJ,positive,value for money,8601,2240,19,"quality and its value for money overall i just loved it,its so spacious and stylish tge smallest one is so cute but actually not useful but loved it a lot its really worth of money,its rare to find such good product in such a low price,best product in this price range,the quality is not so good but its worth for the price definitely"
B08T7BDMZM,negative,stitching is coming,353,114,1,stones have come out stitches also
B0974S6R81,negative,no inner lining,398,138,1,jib provided in bag not good and not stylish color found very fad
B09N3LZYHF,negative,zip inside the bag,239,113,1,not enough pockets in the bagz and no zip pockets
B0B2K83BT3,negative,no pockets inside,463,207,1,the main pocket is having a wider gap with no zip lock support
B0B7BCZ67B,negative,looks like already used,97,31,1,looks like already used
B083XZK6RJ,negative,color not good,3789,1225,23,"very poor quality colors are not match,received in poor quality and a different color from what i ordered,color not good also looking very simple,colors product quality not good enough,pictures which have shown i dont like the color"
B083XZK6RJ,negative,stitching is open,158,53,2,"stitches are open,sewing open"
B083XZPQSP,negative,bad quality,6425,2142,1,quality is not satisfactory
B083Y1392Q,negative,size issues,29856,9059,25,"size is so small product is not comfatabule color is light,size is too small and color is different,size is very very small,size was a large,size is too large"
B083Y19MMJ,negative,not as shown in picture,13786,4341,23,"first of all this is entirely different what is shown in the display picture,not same as the photo it is different and it is not blue,doesnt feel like it is shown,not as show in picture,not in as picture"
B08NYPH9FS,negative,zip is not working,1927,595,1,not as good as i thought no zip and chain rough quality bag
B08S2TRL5L,negative,bag has only one zip,189,73,1,only one zip for whole bag and also all bags in this combo
B08S2TRL5L,negative,description says set,212,66,1,the description showed 5 but one is missing
B09N3K2ZCP,negative,smaller bag,415,119,6,"the size of bag is small sa we think,spots are viewed in the smaller bags,in image bag is big in real bag is small,the bag size is very small than i expected,in photo bag was big in real it is small"
B09N3LZYHF,negative,description says set,212,66,3,"eww,only 4 has received and it is showing 5,ror"
B0B79WLSY8,negative,size issues,29856,9059,1,size is too small
B083XZK6RJ,negative,narrow product,761,313,4,"product very small,too narrow,small size,small"
B083XZK6RJ,negative,product doesn't look good,9218,3091,87,"does not look good on me and not uses,its does not look good on me,does not look good on me,it is not looking good,actually this is not good"
B083Y1392Q,negative,fake product,1665,379,1,does not seem to be originaldoes not seem to be original
B083Y19MMJ,positive,good finish,348,75,1,very good finish
B083Y1CZCL,positive,build quality,128,36,1,look so pretty and build quality so nice reasonable rates design is premium so im so happy go for it but it thanks
B09DGMKBYZ,negative,bag size is not comfortable,167,42,1,size to be small or bag is not good
B09DX9H63B,negative,no tag,303,103,1,no tags available
B09HSCK9K5,negative,didn't expect this size,526,205,1,size seems too small
