ASIN,Customer feedback sentiment,Feedback Topic,Topic mentions in Category,Topic mentions in top selling products,Topic mentions in ASIN,Customer feedback examples
B07MY69F5H,negative,not as shown in picture,10280,1970,1,very bad quality of product doesnt not match the image shown on amazon page
B07P154KBJ,negative,bad quality,4794,893,1,quality is not good
B07P8Q2311,negative,zip is broken,938,167,1,zipper is broken n torn in some part
B081L68ST3,positive,material quality,1741,257,1,material is good type and the color is also vibrant
B07BVKZXCV,negative,leather quality,632,140,1,the leather will come off making it to look ugly
B07LDJ4DJR,negative,small pockets,231,56,1,inside compartment very very small
B09M9ZGYBF,negative,short length,612,137,1,size short
B09MB2NP9R,negative,expected better quality product,259,60,1,expected better quality
B0BGFR5F3M,negative,product doesn't look good,8306,1788,4,"its not good,not good,not good"
B0BN6DD5Z6,negative,doesn't fit properly,1545,527,1,does not look good
B07DT1ZGQ7,positive,value for money,7369,1266,73,"for the price it is value for money,its best in low price for regular use,liked it and is good for its price,the material quality isnt too promising but really cant complain its fine for its price,this is value for money actually"
B07R7LLV77,negative,color not good,3861,866,1,not look well over size color not look
B07RKHYVMC,negative,bag handle,255,44,1,the product - bag handle is broken seems not fitted properly
B07RSKSM2N,negative,waste of money,3189,599,1,the material is not so good and its not worth buying it
B081L5TJLQ,positive,small sling bag,305,54,1,the product was good especially the small sling bag
B083XZYY9H,negative,chain quality,276,50,4,"quality of the chain is bad,i need bag with chain but this bag has no chain,but chain quality very bad and 1st bad good second one not bad but shapeless plain 3rd one chain quality bad,chain straps are very poor quality and leather is so poor quality"
B08B5CP6FK,negative,not as shown in picture,10280,1970,2,"totally different from as shown,product different as per display"
B09HTYRYLX,negative,threads coming,299,95,5,"n threads are also coming out,threads are coming off the product,thread is coming,threads were coming out and small damage beside the clip,the item is damaged completely and the threads are out and the glue is clearly seen"
B09Q1DRFQ8,negative,material is not good,4433,960,1,fabric is poor quality
B09Q1DT2RW,negative,torned material,959,241,1,product entirely different and torn as well
B09Q1FX34C,negative,bad smell,664,152,1,rust on bag chain and many marks on outer bag very bad quality
B09Q1FX34C,negative,rough material,117,22,1,rough finish
B09Q1GKXDJ,negative,not as shown in picture,10280,1970,2,"its not looking same from pic which they have given,i received different products"
B09Q1GYYVY,negative,chain is small,62,19,1,both size and chain is too small compared to the picture shown
B0B464X5MJ,negative,chain is broken,511,70,3,"not torn i lifted it the chain broke,the chain broke,chain broke"
B0B464X5MJ,positive,good compact,324,45,1,still compact enough to carry on the go
B0BGFR849K,negative,bad smell,664,152,1,product smells bad
B07DT1ZGQ7,negative,defective stitching,139,43,1,stitches are also defective
B07K5VMPJG,negative,bad quality,4794,893,3,"quality is not good,bag is too small and not in good quality"
B083XZYY9H,negative,less space,275,68,2,"less spacious,less compartments and seems like unsafe"
B083XZYY9H,negative,lock is broken,238,85,1,not good quality and the keychain is also break
B09G6XVLFL,negative,torned material,959,241,1,damaged or torn
B09M9ZGYBF,negative,not as shown in picture,10280,1970,8,"not at all matching with the image,not same as the picture,its different from as i thought,its have small strip the pendent is not exactly seems as they show in the picture,actual product vary from photo"
B09MB1ZFFN,negative,size issues,21476,3691,2,"size is small,thought it is bigger"
B07DT1ZGQ7,positive,soft material,367,44,1,overall it is very nice and the material is very soft and nice
B07NZJBDW7,negative,light color,354,90,1,we need light color inner material
B083XZYY9H,negative,light color,354,90,1,inner lining color is too bright and does not go with the bag at all
B083XZYY9H,negative,not sturdy,482,105,3,"the material is not durable at all,no separate comport ment no more secure,on image good but physically not good"
B09Q1FYRHD,positive,shown in picture,2895,503,1,same as picture
B09Q1GYYVY,positive,small sling bag,305,54,1,it is a small compact sling bag which has a classy look
B0BGFR5F3M,positive,good compact,324,45,1,though compact has a great capacity and very light in weight
B07BVKZXCV,positive,durability is good,47,5,1,i am a constant buyer of online goods and have my own methods of checking the quality and durability of any item
B083XZYY9H,positive,looks good from outside,152,54,1,seemed to be a good product from outside but didnt last 3 month that too very sparingly used
B083Y1XPMM,negative,product doesn't look good,8306,1788,42,"it is does not look good on me,does not do look good on me,does not good to me,does not look good on me,its not look good on me"
B09HTYRYLX,positive,makeup products,30,6,1,you can carry your all makeup products easily
B07MY379DC,negative,useless for purpose,1464,283,1,not interested
B07NC7PT4Z,negative,not as shown in picture,10280,1970,1,not in the photo
B07NZJBDW7,negative,not as shown in picture,10280,1970,1,as image it is not same not like
B07P41S5PV,negative,bad quality,4794,893,1,not as per the picture and quality is also not good
B09Q1FX34C,positive,excited to receive this product,405,104,1,we cant expect more items to fit inside since its a sling bag however i loved it
B09Q1GYYVY,negative,didn't expect this small size,575,158,1,poor quality size is small
B0B464X5MJ,negative,not sturdy,482,105,1,not durable
B0BN6DD5Z6,positive,looks new,32,3,1,not a clean and new item looks
B07CYZC1YQ,negative,product doesn't look good,8306,1788,1,not satisfying
B07DT1ZGQ7,positive,durable and stylish,63,15,1,it is also quite stylish and sturdy
B07MY379DC,negative,not as shown in picture,10280,1970,3,"its completely deformed stitching is not proper and completely different from the picture,very bad quality and different appearance from web site,different"
B07MY4VS9V,negative,size issues,21476,3691,1,quality is very bad and bag looks very small
B0824QS5D8,negative,looks worn,253,60,1,it looks very old
B0824QS5D8,negative,scratches on product,795,223,1,lots of scratches
B0824QS5D8,positive,smooth material,62,12,1,nice smooth color and material
B09MB2NP9R,negative,bad quality,4794,893,1,didnt find ot nice
B09Q1F3WWH,negative,bad quality,4794,893,4,"extremely poor quality does not worth 100rs,quality is not good,quality is not good,this this to small purse and quality is not good"
B07DT1ZGQ7,negative,one compartment,190,43,3,"only one main compartment and a small zipper pocket,single compartment,though has only one compartment but its very good at this prize"
B07DT1ZGQ7,negative,small belt,937,252,1,small inlet
B07K5VMPJG,negative,doesn't suit,582,161,1,it doesnt suit me
B07KSH25Q4,negative,zip is broken,938,167,2,"also zip of the pocket is damaged,bag is good outside and inside the bag the bag cloth and zip is damaged"
B07MY4VS9V,positive,leather quality,665,76,1,the quality of leather is too good but i was disappointed with the size of this slingbag
B07RKHYVMC,negative,plastic material,145,19,1,glossy leather like outside portion and cloth plastic blend material inside
B081L68ST3,negative,item doesnt meet expectation,253,73,1,says product is not adequate for her
B09MB2NP9R,negative,bag is faded,138,27,1,old stock faded color of the bag
B09Q1HN2B2,negative,not as shown in picture,10280,1970,1,product is not up to the mark
B0B464X5MJ,negative,bad quality,4794,893,4,"the quality is not good,quality is not good,quality is not good,quality is not good"
B0B464X5MJ,negative,fake product,1547,387,1,its looking very old its not a fresh piece
B0B464X5MJ,negative,torned material,959,241,10,"it has been torn from various places,the item is torned,the item is torn,it is torn,item is torn"
B0B464X5MJ,negative,waste of money,3189,599,7,"the product i have received is totally waste of money,the material quality is so poor according the prices,quality issues price tag missing,size issues price tag missing,not even worth the money"
B07BVNMPK9,positive,good zip,358,58,1,spacious good zips exactly as advertised
B07KSGPXGB,negative,leather is torn,420,69,1,leather was torned
B07P7P4ZSR,negative,product doesn't look good,8306,1788,1,not like as expected it seems like purse not like a sling bag
B081L5TJLQ,positive,value for money,7369,1266,1,worth for money
B09G6XVLFL,negative,black color,1237,175,3,"i order from other color and receive me black color,received black color instead of sea green,black color received instead of sea green"
B0BRKX4JN5,negative,material is not good,4433,960,1,poor material
B0BTHXJ8LQ,negative,product doesn't look good,8306,1788,1,not good
B07DSY697V,negative,size issues,21476,3691,5,"this is very small and not use for me,very small,leather quality is also good but it is small in size,i want bigger size"
B07DT1ZGQ7,positive,light weight product,198,49,1,its good very light weight
B07KSJ1TW5,negative,black color,1237,175,2,"black color send,color i have ordered pink but they have delivered black color please i want to returns back my order"
B09HKG54KC,negative,product has stains,850,197,1,the product is torn and all stains are present
B09HTYRYLX,negative,bad quality,4794,893,9,"inferior quality not satisfies,quality is not good,quality is not good,quality look not good,quality isnt good"
B09M9ZGYBF,positive,material quality,1741,257,1,quality of the material and stitch is very poor didnt t like the product at all
B09Q1F3WWH,positive,beautiful piece,112,29,1,value for money and its beautiful
B09Q1GYYVY,negative,not sturdy,482,105,2,"too shiny inside is not good,not presentable"
B0B464X5MJ,positive,l like this product,95,38,1,yes
B0BN6DD5Z6,negative,looks like used,725,151,1,this item seems to be used
B0BN6DD5Z6,negative,threads coming,299,95,1,handle threads are coming out
B07DT1ZGQ7,positive,good compartments,165,23,1,nice product - has good number of compartments
B07NZJBDW7,negative,product doesn't look good,8306,1788,1,not good
B07R6HNVPN,negative,color not good,3861,866,1,color not at expected material also not good
B083XZYY9H,negative,looks old,3077,592,8,"the product seems to be an old one,it looks like its very old,its old and rusted,product looks old,old product"
B083XZYY9H,positive,material quality,1741,257,7,"quality of the material is good,i really liked this product its quality of material is good as promised,i am so happy with this product and material is too good,this is too good and this fabric is really too good,material is good but item will not be fully safed into bag due to chain issue"
B09HTYRYLX,positive,excited to receive this product,405,104,1,she was very happy and love it
B09M9ZPL7D,positive,working women,70,19,1,the quality of the bag is good this ladies bag is very attractive
B09Q1DRFQ8,negative,need new product,61,16,1,need a new piece
B0BGFR5F3M,negative,heavy weight product,574,147,1,too big and looks different from the image
B0BN6DD5Z6,negative,strap is broken,569,170,1,the strap already seems broken with folding
B0BN6DD5Z6,positive,material quality,1741,257,1,material is good
B07DT1ZGQ7,negative,handle is broken,481,111,3,"color different and belt broken handle broken,i couldnt use it for 1 week and the handle has broken,handle was damaged"
B07MMG3QBQ,negative,leather looks cheap,281,75,1,this is 2nd time i am ordering this product again big cheap quality purse is delivered
B083Y1XPMM,negative,chain is not working,645,116,2,"chain is not proper in bag it is opened from sides,rust on the metal parts defective chain"
B09Q1DT2RW,negative,chain quality,276,50,1,the chain color is of low quality
B07DT1ZGQ7,positive,good durable,451,93,1,the strap is thin but seems durable
B07G4H9R42,positive,good durable,451,93,1,very much durable
B07KSGPXGB,positive,color and texture,73,20,1,nice color and texture
B07NVLP45J,negative,black color,1237,175,1,received black colored item
B083XZYY9H,negative,not interested in this product,404,113,2,"i am not interested this product,i have not interested"
B083Y1XPMM,positive,material quality,1741,257,3,"material was so much good and we are so happy,material also good,material is good but i need smaller size"
B0999J95YQ,negative,size issues,21476,3691,3,"color was changed and size was too small,size is too small"
B09Q1F3WWH,negative,chain is heavy,120,50,2,"the chain is too heavy to carry for me,chain is too heavy to carry"
B0B464X5MJ,negative,lock of bag,91,39,1,poor locking
B07MY2FGH2,negative,useless for purpose,1464,283,1,item is not useful
B083Y1XPMM,negative,lock is not working,371,115,2,"lock is not good,not locking good"
B09MB2NP9R,negative,chain is small,62,19,1,the shoulder chain is very small to be used as sling bag
B09Q1DT2RW,negative,marks on product,167,37,1,item has a mark on the front side
B09W2JJF6Z,negative,flimsy material,93,20,1,the handle is flimsy and scrunchies
B0BN6DD5Z6,negative,fake product,1547,387,1,products looks duplicate / imitation
B0C3RFY2BJ,negative,leather quality,632,140,1,leather quality is not good
B07K5VMPJG,positive,good durable,451,93,1,one bag is sturdy
B07MJC7FFH,negative,torned material,959,241,1,torn out
B07MY379DC,negative,product doesn't look good,8306,1788,1,not good
B07NS3BHJ3,negative,dirty product,1599,268,1,this product is so costly and the size of bag is very small and i received the bag in very bad condition the bag was very dirty
B07NVQ635R,negative,product doesn't look good,8306,1788,1,not good
B083XZYY9H,negative,product not matching,252,64,2,"product is not looking good as look in images so returning,product looks not like"
B09HTYRYLX,negative,material is not good,4433,960,10,"item is not in good shape,material is not good,did not like the material quality,material not good,quality of material is very poor"
B09Q1DT2RW,negative,small dent,323,85,1,its small and too hard
B09Q1FYRHD,negative,doesn't fit properly,1545,527,2,"does not look good,doesnt look nice"
B07Q7NQVDJ,negative,zip is broken,938,167,1,zips broken immediately
B07RKHYVMC,negative,product doesn't look good,8306,1788,3,"didnt look good,its not good,not good"
B07RKHYVMC,positive,value for money,7369,1266,10,"too good worth for money very useful to take anywhere,worth of money i like it very much,wow so nice quality at this deal price,good quality in this price,good and worthy price"
B0B464X5MJ,negative,quality not worth,464,137,5,"the quality is not good,quality from bottom is not good,quality not good,quality not good,little cut and quality not good"
B0BGFR5F3M,negative,material is not good,4433,960,2,"the material quality is not good,material is too bad"
B07NVPL7Y5,negative,chain is broken,511,70,1,chain broke itself
B07P7P4ZSR,negative,zip quality,1076,247,1,good quality but not a bag just like a purse
B07RKHYVMC,negative,color not good,3861,866,1,color is not same as i ordered
B083Y1XPMM,negative,no brand logo,453,101,5,"not comfert to me,not components,no space,belt and zip of the bag is broken not attached,its good but not my types"
B09G6XVLFL,negative,chain is not working,645,116,1,very small and inside chain also properly not fitted hence return this item
B09G6XVLFL,negative,no zip,387,96,1,doesnt have a zip
B09Q1DT2RW,negative,less space,275,68,1,space is also very less
B09Q1F3WWH,negative,adjustable strap,329,77,1,they gave normal strap but in photo it is showing metal strap
B07CG1YVH4,negative,leather quality,632,140,1,leather is not good
B07KSGPXGB,negative,product doesn't look good,8306,1788,2,"not good,inside damaged and not perfect"
B0999FLP38,negative,scratches on product,795,223,1,handbag has shown sign of scratch on surface and looks old
B09HTYRYLX,positive,good space,504,84,1,good space in bag
B07BVKZXCV,negative,not leather,624,116,2,"dark brown and not light brown,its not a sling bag"
B07DBBTW4F,negative,stitching is coming,423,109,1,stitching threads are already coming out
B07KSJ1TW5,negative,bad quality,4794,893,1,quality not good
B082RDZZJ1,negative,product doesn't look good,8306,1788,4,"its not attractive and not like,not looking better,nuts not fit on bag handler,the small two bags are good but the main handbag was not good"
B083XZYY9H,positive,nice color,1771,253,5,"color and style is overall good,loved the color and material used,i like the style and color,the color is too good,loving the color too"
B07KSJ1TW5,positive,best in class,139,19,1,best
B07NLJBWZD,negative,dirty product,1599,268,1,product is too dirty little damaged sling is not available
B081L68ST3,negative,not as shown in picture,10280,1970,3,"item is not as per picture,item doesnt match website description,item doesnt match website description the color received was grey instead of brown please make the pickup before 11 00am"
B0824QS5D8,negative,bag handle,255,44,2,"received damaged bag with damaged handle,the bags handle is damaged"
B09G6XVLFL,negative,length is long,100,22,2,"the sling is too long for me,this product is good but length is too much long according to my height"
B09Q1DT2RW,negative,chain is broken,511,70,2,"one joint of the chain is broken,chain is broken"
B09Q1DT2RW,positive,stylish bag,988,256,2,"it looks very stylish and eye catching,looking nice as seen in the picture of product"
B09Q1F3WWH,negative,dirty product,1599,268,2,"the thread color seems to be dusty and dirty,bag is very dirty"
B09Q1F3WWH,negative,torned material,959,241,1,item is torn from side
B07BVB69N1,negative,bag without belt,41,14,1,the bag come without the belt
B07KSJ1TW5,negative,not as shown in picture,10280,1970,4,"product is quite different shown in the picture,item doesnt match website description"
B07R6HNVPN,negative,zip quality,1076,247,1,material like pu leather inner lining cloth zips fasteners are not good quality
B07RZ8KZS9,negative,chain is broken,511,70,1,chain damaged
B07SWVK36G,negative,product doesn't look good,8306,1788,2,"stiches are not good,not good"
B09MB2NP9R,positive,formal look,38,5,1,i paired it with my formal for my office and it looks so nice
B09Q1F3WWH,negative,corner is damaged,82,26,1,edge is damaged
B09Q1F3WWH,negative,small dent,323,85,1,product size is very small
B09Q1F3WWH,negative,stitching is not proper,2146,553,2,"poor stitch quality shape and even material shade inferior then what appeared in the photograph online,stitches is not proper"
B09Q1FYRHD,positive,stylish to carry,34,11,1,stylish
B0B464X5MJ,negative,not a genuine product,312,92,2,"not at all a good product,product not compatible"
B07MY4VS9V,negative,dirty product,1599,268,1,looks old and dirty
B09Q1JMT13,positive,leather quality,665,76,1,leather and chain is really good
B09W2JJF19,positive,good durable,451,93,1,the size is good to hold the necessities and it looks durable
B07G636QVZ,positive,value for money,7369,1266,1,satisfied with the money for this product
B07P154KBJ,positive,value for money,7369,1266,1,worth for money
B0824QS5D8,negative,light color,354,90,1,material is too light and of sub standard quality and sling bags doesnt have a solid / hard shape
B083XZYY9H,positive,working women,70,19,1,useful and best for rough use specially for working womens
B07DT1ZGQ7,negative,small pockets,231,56,1,this small bag has 1 compartment but hold is good
B07DT1ZGQ7,positive,goes with all outfit,106,24,1,goes with all outfit
B07PNJXQ4J,negative,material not as shown,143,30,1,the piece is not clean
B082RDZZJ1,negative,stitching is not proper,2146,553,1,strap of handbag is very weak poor quality
B09G6XVLFL,negative,bag is torn,1189,285,1,the bag is torn on the side
B09HTYRYLX,positive,good compact,324,45,1,i gifted it to someone and they are very happy it is a very stylish and compact bag with good quality material color combination is also very good
B09M9ZPL7D,positive,good stitching,166,29,1,the stitching is very sturdy the color
B09Q1DT2RW,negative,strap is not good,543,175,1,poor quality of the strap
B09Q1F3WWH,negative,looks old,3077,592,2,"the product is torn from the side and looks old,the bag is torn from one side and also looks old"
B09Q1FYRHD,positive,chain quality,205,35,1,the chain concept is good
B0BRG8L4F8,negative,small hole in bag,115,31,1,item has a small hole
B07DT1ZGQ7,negative,expected better quality product,259,60,2,"need better product,need better one"
B07MQFK89D,negative,not as shown in picture,10280,1970,1,looks different in website
B083XZYY9H,negative,no compartments,92,20,2,"no separation no compartments,not satisfied with the quality and no zips inside and no compartments for different materials"
B09G6XVLFL,negative,useless for purpose,1464,283,1,not worth
B09Q1GYYVY,positive,cute little bag,105,16,1,this is such a cute bag and stylish as well
B0BGFR5F3M,negative,leather quality,632,140,1,leather quality is very bad
B0BGFR849K,negative,fake product,1547,387,1,does not seem to be original
B07BVKZXCV,positive,value for money,7369,1266,4,"it has fantastic design and great quality for the price,worth the money,good one in that image they well polished and when we received that time its not polished but worth,worth"
B07DT1ZGQ7,negative,cheep quality product,38,8,1,looks like very cheep not even 180rs
B07KNS2ZW7,negative,heavy weight product,574,147,1,not bad but heavy wait
B07NY89BY7,negative,item doesnt meet expectation,253,73,1,item was not as per my expectation
B07P7P4ZSR,negative,broken item,238,58,1,broken
B07S2KWHXL,negative,not leather,624,116,1,its black clear not red
B0824QS5D8,negative,not as shown in picture,10280,1970,7,"not the same as in photo,different from photo,damage product and it is not as it appeared,product is different from photo,not size"
B09HTYRYLX,negative,dull color,1714,352,1,the quality is also so poor and its very dull
B09Q1DBMM6,positive,nice color,1771,253,1,love the color
B09Q1FYRHD,negative,bag is torn,1189,285,1,the bag was torn from bottom
B09Q1FYRHD,negative,material not up to mark,227,74,1,on the image it looks bigger in size but it is not it is very small so i didnt like it
B0BRKX4JN5,negative,waste of money,3189,599,1,very low quality in this price
B07BVKZXCV,negative,not as shown in picture,10280,1970,4,"not to my taste not as in picture,quality described on the website is not as per the product received,the product is not found up to the mark as described hence did not like it and returning,item doesnt match website description"
B07P7P4ZSR,negative,not as shown in picture,10280,1970,1,item doesnt match website description
B07R6HNVPN,negative,has compartments,102,15,1,there are not many compartments and no spaces for credit card or license thanks
B082RDZZJ1,negative,dull color,1714,352,1,color looks so dull compared to what shown in image
B09HTYRYLX,negative,dirty product,1599,268,2,"there is glue on the bad its dirty and sticky,dirty"
B09M9YDVF4,negative,chain is not working,645,116,1,chain polish is not properly and quality is not good
B09M9ZPL7D,negative,used product,992,242,1,used product
B09Q1JMT13,negative,color faded,811,167,1,somewhere color fade
B0B464X5MJ,negative,torn near zip,87,22,2,"tag was torn,akready torn"
B0BN6DD5Z6,negative,not as shown in picture,10280,1970,2,"product is not same as in photos,doesnt look like that which i thought of"
B07BVKZXCV,negative,dull color,1714,352,2,"dull product not good,looks dull not happy with the zipper"
B07DSY697V,negative,size is not fit,3432,821,1,bag is big not comfortable
B07DT1ZGQ7,negative,size issues,21476,3691,63,"this is too much small,different item received diff color and is small,its a mistake its too small,bad product size is too small,size is very small"
B07P1QKL1F,negative,black color,1237,175,1,sling bag was brown and black in color whereas handbag was pink and black
B07R7LLV77,positive,looks nice,7013,969,1,nice
B083XZYY9H,positive,good space,504,84,1,its looking good and have enough space and easy to carry
B09Q1DBMM6,negative,design is not good,419,126,1,dont like the product
B07BVKZXCV,negative,zip is not working,1508,318,2,"zipper not working,looks dull not happy with the zipper"
B07DT1ZGQ7,positive,stylish bag,988,256,1,nice product
B07MY5W6KT,negative,not as shown in picture,10280,1970,1,item doesnt match website description
B081LCR2VJ,negative,small hole in bag,115,31,1,there are also tiny holes
B082RDZZJ1,negative,strap is broken,569,170,1,one strap is damaged
B083XZYY9H,negative,need another color,87,25,1,we show one color we received another color
B083XZYY9H,negative,stitching is coming,423,109,2,"stitching are already coming out,handle broken zip gone bad quality material stitches gone"
B09M9ZGYBF,negative,no pockets inside the bag,563,130,1,the strap is extremely small its a purse not a sling bag
B09Q1GYYVY,positive,value for money,7369,1266,2,"delivered as it is and also worth for money,its good n shiny worth the money"
B0BGFR4NPZ,negative,not as shown in picture,10280,1970,3,"not as shown in photos,quality also not as seems in images,not much photo"
B07CG1YVH4,negative,bad quality,4794,893,1,quality not happy
B07DT1ZGQ7,negative,item doesnt meet expectation,253,73,1,have received an item which is not in good quality
B07DT1ZGQ7,positive,good discount,17,,1,i got in good discount
B081L5TJLQ,negative,zip quality,1076,247,1,small damage near zip quality is not good
B083XZYY9H,negative,material not up to mark,227,74,2,"material is not up to mark,not up to the mark"
B09HTYRYLX,negative,used product,992,242,2,"overall looks like a used product,used product delivered"
B09M9YDVF4,negative,leather looks cheap,281,75,1,very small hanging belt and also the product quality looks cheap
B09Q1DT2RW,negative,bag is torn,1189,285,1,bag is torned at top stick came out
B09Q1F3WWH,negative,space is narrow,429,95,3,"its very small,very small,very small"
B09W2JT6NW,negative,zippers are coming out,88,27,1,zipper bas rhi
B0B464X5MJ,negative,didn't expect this small size,575,158,3,"i am not satisfied with this product its size is small,size is small,size is small"
B0C3RD6F92,negative,product doesn't look good,8306,1788,1,not good
B07MY2FGH2,negative,no zip,387,96,1,inside zip was not stitch
B07MY2FGH2,positive,looks nice,7013,969,2,"nice,good looking but bad quality plastic is used"
B082RDZZJ1,negative,torned material,959,241,1,black colored dirt on the bag and slightly torn
B083XZYY9H,negative,doesn't look like this,703,194,2,"not like,we think very good quality but not like that"
B09M9ZGYBF,positive,looks nice,7013,969,3,"item is good quality but i have the same,good"
B09Q1F3WWH,negative,lock is not working,371,115,2,"its lock not working properly,lock not working"
B09Q1JD2DW,positive,golden chain,21,2,1,it is better than what i expected gives a very classy look the golden chain is very nice quality
B09W2JJF19,positive,mobile and money,443,152,1,nice product for this price
B0B464X5MJ,negative,size is little bigger,227,69,1,product is larger than image displayed
B07CYZ8HF3,negative,bad quality,4794,893,1,quality is not at all good
B07MJC7FFH,negative,useless for purpose,1464,283,1,not worthy
B07P1QKL1F,negative,amazon cheating s,77,11,1,its joint cheating scheme of amazon and seller
B0999J95YQ,positive,good condition,329,103,1,quality is not great but the bag looks good
B09Q1F3WWH,negative,shape is not good,362,120,2,"shape is not good,very small for me doesnt look good"
B09Q1FKY8C,negative,size issues,21476,3691,1,it is too small
B07CG1YVH4,negative,local product,138,24,1,local quality
B07DT1ZGQ7,negative,chain is broken,511,70,2,"the chain is broken,chain broken"
B07DT1ZGQ7,negative,doesn't look like new,223,49,1,doesnt look new
B07P8Q2311,negative,bad quality,4794,893,1,quality is not good
B083XZYY9H,negative,waste of money,3189,599,19,"product is not according to the price charged,waste of money totally pathetic thing is this,not enough quality for the money paid,i waste my money very poor quality,quality not matching with the price"
B07C9X4TSX,positive,value for money,7369,1266,1,worth buying
B07CYXCK13,negative,bad finishing,1129,297,1,very poor quality
B07DT1ZGQ7,negative,bag handle,255,44,2,"main chain of the purse not working reliably,handle is not working"
B07DT1ZGQ7,positive,leather quality,665,76,5,"go for it if u like leather finish,its good and leather quality is fine,it also has a good quality leather,i am satisfied good leather,good stitch fine leather"
B07LDSPW5Q,negative,bag is torn,1189,285,1,received a damaged product which is torn
B07NS3BHJ3,negative,not as shown in picture,10280,1970,1,totally different from what ive seen
B07RKHYVMC,negative,small hole in bag,115,31,1,there was a small hole on one of the side of the bag
B082RDZZJ1,negative,chain quality,276,50,1,chain
B09HTYRYLX,negative,doesn't look authentic,226,68,2,"not good,not good"
B09Q1DRFQ8,negative,strap is not good,543,175,1,the strap quality is not good at all
B09Q1F3WWH,negative,product is little damaged,32,11,2,"the product has non removable marks in the side and flap is also off centered,the product has non removable marks on the side and flap was also not centered"
B07DRM431V,negative,material is not good,4433,960,1,out side pockets and quality of material is very poor
B07R6HNVPN,negative,chain is broken,511,70,1,chain damage and out side lather damage
B07RZ8KZS9,negative,zip quality,1076,247,2,"zip isnt of good quality and even not working properly,zips are not good"
B081LCR2VJ,negative,handle is rusted,45,7,1,handle is damage
B09M9YDVF4,negative,doesn't fit properly,1545,527,1,does not look good
B09M9YDVF4,negative,short length,612,137,1,sling is too small
B09M9ZGYBF,negative,strap is not good,543,175,1,the strap is not even adjustable
B09Q1JVKQW,negative,need new product,61,16,1,need new one
B0B464X5MJ,negative,broken item,238,58,1,item is break
B0BGFR4NPZ,negative,size issues,21476,3691,3,"expected a small size and a long sling,this bag is very small in height,bag is bit large and the bags sling is little shorter"
B0BGFR849K,negative,doesn't suit,582,161,1,not worth it
B0BN6DD5Z6,negative,material not up to mark,227,74,1,not up to the mark
B07CYXCK13,negative,not as shown in picture,10280,1970,1,different product received
B07DFMXSMZ,positive,working women,70,19,1,granny was happy with the handy bag and even i loved the sling
B07RZ8KZS9,negative,material is not good,4433,960,5,"material quality not good,item not good,poor quality of material,poor quality materials,poor material"
B09Q1F3WWH,negative,torn at corners,156,54,1,torn from edge
B09Q1JVKQW,negative,lock is not working,371,115,1,the polish of the lock is rusted
B07DFMXSMZ,positive,looks neat,45,10,1,they look neat and serves the purpose
B07LDSPW5Q,negative,fake product,1547,387,1,does not seem to be original
B09M9YL9WG,positive,stylish bag,988,256,1,good product
B07R6HNVPN,negative,need new product,61,16,1,new pick up
B081L5TJLQ,positive,looks nice,7013,969,1,dont like that product but look was good
B09MB2NP9R,negative,used product,992,242,1,used product
B09Q1DBMM6,negative,expected better quality product,259,60,1,expected a better quality product
B09Q1FX34C,negative,difficult to use,84,21,1,difficult to maintain
B0B464X5MJ,negative,looks old,3077,592,7,"its looking very old its not a fresh piece,used and old product,its look old and the stitching is even not good the button is torn looks like an use product,product look like old and used and also torn,product has stains and it looked old stitch is also poor"
B0B464X5MJ,negative,shape is not good,362,120,1,doesnt look good
B07MJXRFKW,negative,size issues,21476,3691,2,"very small,small bags in reality"
B07P53XRFQ,positive,value for money,7369,1266,1,good product at this price
B07Q3GTJSY,positive,soft leather,93,13,1,quality of the material is good made of soft leather touch
B07RZ8KZS9,negative,zip is broken,938,167,3,"zip was broken,the zipper is broken,zip damaged"
B081L5TJLQ,negative,size issues,21476,3691,1,poor to small size
B083Y1XPMM,positive,can easily carry,29,7,1,easily one can enter hands
B09HTYRYLX,negative,scratches on product,795,223,1,the buckle is out and there are some scratches on the bag
B09M9ZPL7D,positive,material quality,1741,257,1,the material is very good
B09Q1F3WWH,negative,material is not good,4433,960,3,"item not as expected,poor material,the material is very low quality and so many scratches on the purse looks cheap quality"
B0BRG8L4F8,negative,material is not good,4433,960,1,material is poor
B07BVB69N1,positive,value for money,7369,1266,1,nice product as per the cost
B07KSGPXGB,positive,nice color,1771,253,2,"i got same as shown in the picture color was amazing,nice color and texture"
B07MY4VS9V,negative,damaged stitching,198,45,1,item stitching is damage
B07MY5W6KT,negative,zip is not working,1508,318,1,bag was too small and the zip was failed
B081L5TJLQ,negative,dirty product,1599,268,2,"dirty and damaged stuff,product received was dirty quality is not as per picture especially the bottom base of all 3 bags and looks a bit used"
B09M9ZGYBF,positive,value for money,7369,1266,1,price is affordable
B09Q1DBMM6,negative,dull color,1714,352,1,color is dull
B09Q1DRFQ8,negative,hard material,319,89,1,material is hard
B09Q1DT2RW,negative,material is not good,4433,960,5,"item not as expected was not satisfied and does not look good,i didnt like the material,material is of low quality,poor quality materials,material is low quality"
B09Q1FX34C,negative,chain quality,276,50,1,only the chain of the bag smells of iron
B09Q1FYRHD,negative,leather looks cheap,281,75,1,cheap product very bad quality
B09Q1GYYVY,negative,stitching is not proper,2146,553,1,stitching not proper
